ID,Text,Comment
Knatte.InvCorner3X.DisplayName,装飾用ダム 対角線（高さ3）,-Decoration Internal Corner Tripple Height
Knatte.InvCorner3X.Description,ダムの角に設置しよう。,-Let the Dam be Cornered.
Knatte.InvCorner3X.FlavorDescription,注意！水はせき止めない。,-Does not Block Water

Knatte.Slope3X.DisplayName,装飾用ダム 坂（高さ3）,-Decoration Slope Double Height
Knatte.Slope3X.Description,ダムに傾斜をつけよう。,-Let the Dam be Sloped.
Knatte.Slope3X.FlavorDescription,注意！水はせき止めない。,-Does not Block Water

Knatte.InvCornerW3X.DisplayName,堤防 対角線（高さ3）,-Leeve Internal Corner Tripple Height
Knatte.InvCornerW3X.Description,ダムの角に設置しよう。,-Let the Dam be Cornered.
Knatte.InvCornerW3X.FlavorDescription,水をせき止める。,-Water will not Pass

Knatte.Pillar.DisplayName,柱,-
Knatte.Pillar.Description,ダムを盛り上げよう。,-
Knatte.Pillar.FlavorDescription,

Knatte.Pillars.DisplayName,筋交い付きの柱,-
Knatte.Pillars.Description,ダムを盛り上げよう。,-
Knatte.Pillars.FlavorDescription,

Knatte.Pillar_1.DisplayName,一本柱,1 Leg Pillar
Knatte.Pillar_2.DisplayName,ニ本柱,2 Leg Pillar
Knatte.Pillar_3.DisplayName,三本柱,3 Leg Pillar三脚の柱も候補だったが、三脚から連想される形ではない。
Knatte.Pillar_X.Description,柱を好きな見た目にカスタマイズできる。\r\n螺旋階段と組み合わせれば、柱を隠しつつ螺旋階段を積み重ねることができる。,Pillars to be able to get customized looks\r\nCan be combined with Staircase to hide them but get stackable.
Knatte.Pillar_X.FlavorDescription,

Knatte.StaircasePillar.DisplayName,らせん階段用の柱,-Staircase Pillar
Knatte.StaircasePillar.Description,らせん階段と組み合わせると見栄えが良くなる。,-Pillars to be used with Staircase to get a nice Pillar.
Knatte.StaircasePillar.FlavorDescription,,			Untranslated

Knatte.PillarTop.DisplayName,カスタム柱の足場,Custom Pillar Top他候補:踊り場の足場
Knatte.PillarTop.Description,カスタマイズした柱や飾り用の足場。\r\n螺旋階段と組み合わせれば、柱を隠しつつ螺旋階段を積み重ねることができる。,Top part for Custom pillars or Decoration pieces\r\nCan be combined with Staircase to hide them but get stackable.

Knatte.StaircasePlatform.DisplayName,足場 2x2,-Platform 2x2
Knatte.StaircasePlatform.Description,中心の大きな柱で支えている足場。,Platform with a big log in the middle
Knatte.StaircasePlatform.FlavorDescription,,			Untranslated

Knatte.SlopeS.DisplayName,装飾用ダム付き階段,-
Knatte.SlopeS.Description,ダムに階段をつけよう。,-
Knatte.SlopeS.FlavorDescription,注意！水はせき止めない。,-

Knatte.DiagPath.DisplayName,斜めの道,
Knatte.DiagPath.Description,堤防と装飾の上に作る斜めに進む道。\n通常の道と到達距離は変わらないが、見栄えは良い。,Path to go diagonal on Decoration and levees.\nTakes no less pathing lenght then normal road but looks better.
Knatte.DiagPath.FlavorDescription,「この道を行くときはステップを踏まずにいられない。」 —ハイテンションなビーバー, 						Untranslated

Knatte.CategoryDam.DisplayName,装飾用ダム,-
Knatte.CategoryDam.Des,注意！水はせき止めない。,-

Knatte.CategoryLevees.DisplayName,堤防とダム部品,Levee and Dam Pieces
Knatte.CategoryLevees.Des,水をせき止める。,Does Block Water

Knatte.CategoryPillar.DisplayName,柱と装飾用足場,-Pillars and Pilar Top
Knatte.CategoryPillar.Des,Let it Rise,-							Untranslated

Knatte.CategoryDam2.DisplayName,Decoration Pieces 2,-               Untranlsated
Knatte.CategoryDam2.Des,Does not Block Water,-                      Untranlsated

Knatte.DoubleInvSlope.DisplayName,逆三角形の足場（高さ2）,[WIP]Double Inverted Slope
Knatte.DoubleInvSlope.Description,堤防と逆三角形装飾を組み合わせたもの。,Levee and inverted Slope Combo
Knatte.DoubleInvSlope.FlavorDescription,橋を作ろう。,Lets build an Bridge

Knatte.Square1x2.DisplayName,装飾用 直方体1x2,Decoration Cube 1x2
Knatte.Square1x3.DisplayName,装飾用 直方体1x3,Decoration Cube 1x3
Knatte.Square_B.Description,突き出して設置できるが、水をせき止めない。,Square that can stick out but does not block water.
Knatte.Square_B.FlavorDescription,,                                             Untranslated

Knatte.InvSlope1x1.DisplayName,Inverted Slope 1x1,                              Untranslated
Knatte.InvSlope1x2.DisplayName,Inverted Slope 1x2,                              Untranslated
Knatte.InvSlope1x3.DisplayName,Inverted Slope 1x3,                              Untranslated
Knatte.InvSlope2x1.DisplayName,Inverted Slope 2x1,                              Untranslated
Knatte.InvSlope.Description,Square that can stick out but does not block water.,Untranslated
Knatte.InvSlope.FlavorDescription,,

Knatte.InvTrapezium1x1.DisplayName,Inverted Trapezium 1x1,                  Untranlsated
